kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
C.local_attn_layer.out_proj,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,1.9794
C.local_attn_layer.out_proj,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,1.9794
C.local_attn_layer.rmsnorm_ffn,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_ffn,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.ffn_gate_up,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,19.232
C.local_attn_layer.ffn_gate_up,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,19.232
C.local_attn_layer.swiglu_act,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.069153
C.local_attn_layer.swiglu_act,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.069153
C.local_attn_layer.ffn_down,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,9.62
C.local_attn_layer.ffn_down,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,9.62
C.global_attn_layer.rmsnorm_attn,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_attn,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.qkv_proj,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,0.74197
C.global_attn_layer.qkv_proj,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,0.74197
C.global_attn_layer.attention,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.04295,compute,0.04295,0.55835
C.global_attn_layer.attention,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.04295,compute,0.04295,0.55835
C.global_attn_layer.out_proj,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,0.65981
C.global_attn_layer.out_proj,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,0.65981
C.global_attn_layer.rmsnorm_ffn,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_ffn,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.ffn_gate_up,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,6.4108
C.global_attn_layer.ffn_gate_up,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,6.4108
C.global_attn_layer.swiglu_act,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.023051
C.global_attn_layer.swiglu_act,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.023051
C.global_attn_layer.ffn_down,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,3.2067
C.global_attn_layer.ffn_down,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,3.2067
C.embed_lookup,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00026624,bandwidth,0.00039404,0.00039404
C.embed_lookup,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00069222,bandwidth,0.00039404,0.00039404
C.lm_head,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,1.0698,bandwidth,1.5833,1.5833
C.lm_head,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7814,bandwidth,1.5833,1.5833
D.reject_sample_compare,D,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.01026,bandwidth,0.015186,0.015186
D.reject_sample_compare,D,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.026677,bandwidth,0.015186,0.015186
